M,numKeys,tipo,reads,writes,avg_reads,avg_writes,tempo_total,tempo_cpu,tempo_io,bytes
3,1000,Seq,9958,3964,9.958,3.964,0.0287741,0.00438746,0.0243867,35820
3,1000,Rand,8532,3183,8.532,3.183,0.0252305,0.00347431,0.0217562,26424
3,10000,Seq,133596,39959,13.3596,3.9959,0.340831,0.0449163,0.295915,359856
3,10000,Rand,114469,32490,11.4469,3.249,0.327111,0.0398658,0.287245,270180
3,50000,Seq,784440,199952,15.6888,3.99904,1.98557,0.245492,1.74008,1799820
3,50000,Rand,671921,161770,13.4384,3.2354,1.91296,0.216527,1.69644,1341612
3,100000,Seq,1668903,399950,16.689,3.9995,4.1875,0.506089,3.68141,3599820
3,100000,Rand,1425222,323745,14.2522,3.23745,3.95744,0.44523,3.51221,2685348
3,1000000,Seq,19951394,3999941,19.9514,3.99994,49.1497,5.60955,43.5402,35999784
3,1000000,Rand,17047577,3237259,17.0476,3.23726,49.1356,4.95659,44.179,26850528
5,1000,Seq,6263,2482,6.263,2.482,0.0185122,0.00285181,0.0156604,25948
5,1000,Rand,5359,2076,5.359,2.076,0.0184016,0.00277669,0.015625,18876
5,10000,Seq,83425,24972,8.3425,2.4972,0.220526,0.0302553,0.190271,259844
5,10000,Rand,71469,21053,7.1469,2.1053,0.212312,0.0283164,0.183995,191880
5,50000,Seq,490933,124965,9.81866,2.4993,1.24857,0.167066,1.08151,1299792
5,50000,Rand,417137,105587,8.34274,2.11174,1.17705,0.145789,1.03126,963872
5,100000,Seq,1040933,249965,10.4093,2.49965,2.58048,0.34202,2.23846,2599792
5,100000,Rand,897015,210745,8.97015,2.10745,2.49767,0.30603,2.19164,1919996
5,1000000,Seq,12468535,2499955,12.4685,2.49995,30.2438,3.7268,26.517,25999688
5,1000000,Rand,10823595,2106916,10.8236,2.10692,31.2728,3.48604,27.7868,19191276
10,1000,Seq,4141,1733,4.141,1.733,0.0116364,0.00182747,0.00980895,22816
10,1000,Rand,3664,1496,3.664,1.496,0.0114135,0.00174693,0.00966657,15548
10,10000,Seq,56200,17476,5.62,1.7476,0.160805,0.0257589,0.135046,229724
10,10000,Rand,48852,14967,4.8852,1.4967,0.147319,0.0211834,0.126135,152720
10,50000,Seq,331041,87471,6.62082,1.74942,0.877352,0.119909,0.757443,1149632
10,50000,Rand,286636,74631,5.73272,1.49262,0.834137,0.109754,0.724383,755872
10,100000,Seq,706041,174971,7.06041,1.74971,1.82318,0.244597,1.57858,2299632
10,100000,Rand,602778,148843,6.02778,1.48843,1.74508,0.225727,1.51935,1498404
10,1000000,Seq,8401350,1749964,8.40135,1.74996,21.2535,2.70441,18.5491,22999540
10,1000000,Rand,7114022,1490256,7.11402,1.49026,21.9084,2.66739,19.2411,15042644
50,1000,Seq,2028,1119,2.028,1.119,0.00709181,0.00123997,0.00585185,17304
50,1000,Rand,2006,1086,2.006,1.086,0.00753238,0.00138651,0.00614587,12772
50,10000,Seq,29501,11242,2.9501,1.1242,0.0923295,0.0161437,0.0761858,171804
50,10000,Rand,28873,10861,2.8873,1.0861,0.0978092,0.0165203,0.0812889,119480
50,50000,Seq,170933,56241,3.41866,1.12482,0.532732,0.0977928,0.43494,858608
50,50000,Rand,151241,54411,3.02482,1.08822,0.523091,0.0904193,0.432672,607288
50,100000,Seq,375099,112490,3.75099,1.1249,1.09828,0.182463,0.915822,1716804
50,100000,Rand,345381,108842,3.45381,1.08842,1.09816,0.174069,0.924092,1216224
50,1000000,Seq,4252570,1124985,4.25257,1.12498,12.1235,2.00691,10.1166,17166392
50,1000000,Rand,3998860,1088823,3.99886,1.08882,12.5942,1.94152,10.6527,12233928
100,1000,Seq,1938,1059,1.938,1.059,0.00695493,0.00135953,0.0055954,17864
100,1000,Rand,1930,1047,1.93,1.047,0.00753782,0.0015613,0.00597652,14616
100,10000,Seq,25252,10606,2.5252,1.0606,0.0851101,0.0170923,0.0680177,166460
100,10000,Rand,23659,10408,2.3659,1.0408,0.0859985,0.0164991,0.0694994,112868
100,50000,Seq,146884,53054,2.93768,1.06108,0.471648,0.0927911,0.378857,829052
100,50000,Rand,144869,52221,2.89738,1.04442,0.490955,0.0919632,0.398992,604128
100,100000,Seq,298924,106114,2.98924,1.06114,0.964133,0.191763,0.77237,1657292
100,100000,Rand,296321,104398,2.96321,1.04398,1.01594,0.19024,0.825697,1193640
100,1000000,Seq,3783106,1061213,3.78311,1.06121,11.63,2.19041,9.43957,16571296
100,1000000,Rand,3572210,1043721,3.57221,1.04372,11.6015,2.08965,9.51185,11903920
500,1000,Seq,1506,1011,1.506,1.011,0.00818095,0.00264887,0.00553209,24072
500,1000,Rand,1504,1008,1.504,1.008,0.00846337,0.00278422,0.00567915,20060
500,10000,Seq,19578,10119,1.9578,1.0119,0.0925175,0.0285917,0.0639258,168504
500,10000,Rand,19562,10095,1.9562,1.0095,0.0947793,0.0295357,0.0652436,136408
500,50000,Seq,99898,50599,1.99796,1.01198,0.477969,0.156734,0.321235,810424
500,50000,Rand,99756,50384,1.99512,1.00768,0.489076,0.152496,0.33658,525572
500,100000,Seq,200298,101199,2.00298,1.01199,0.988642,0.337033,0.651608,1612824
500,100000,Rand,200016,100773,2.00016,1.00773,1.00178,0.315579,0.6862,1047132
500,1000000,Seq,2882276,1012042,2.88228,1.01204,12.3783,4.03094,8.34741,16116204
500,1000000,Rand,2848397,1008389,2.8484,1.00839,12.2705,3.65929,8.61117,11562584
1000,1000,Seq,1002,1005,1.002,1.005,0.00912598,0.00393357,0.0051924,32048
1000,1000,Rand,1002,1005,1.002,1.005,0.0098214,0.00440972,0.00541168,32048
1000,10000,Seq,19038,10059,1.9038,1.0059,0.119392,0.0475484,0.0718434,176264
1000,10000,Rand,19030,10047,1.903,1.0047,0.122057,0.0496268,0.0724298,144216
1000,50000,Seq,99198,50299,1.98396,1.00598,0.612422,0.244858,0.367563,817224
1000,50000,Rand,99126,50189,1.98252,1.00378,0.646294,0.263737,0.382558,528792
1000,100000,Seq,199398,100599,1.99398,1.00599,1.24766,0.505352,0.742304,1618424
1000,100000,Rand,199256,100383,1.99256,1.00383,1.27774,0.515927,0.761813,1049572
1000,1000000,Seq,2502502,1006006,2.5025,1.00601,15.0475,6.46088,8.58667,16064060
1000,1000000,Rand,2397340,1003958,2.39734,1.00396,14.4936,5.82752,8.6661,11256860
