M,numKeys,tipo,reuso,reads,writes,avg_reads,avg_writes,tempo_total,bytes,altura
3,10000,Seq,com,420286,89963,21.0143,4.49815,0.372544,359856,13
3,10000,Seq,sem,415288,84965,20.7644,4.24825,0.333976,539784,13
3,100000,Seq,com,5236141,899959,26.1807,4.49979,4.46495,3599820,16
3,100000,Seq,sem,5186144,849962,25.9307,4.24981,4.12704,5399712,16
10,10000,Seq,com,176055,37488,8.80275,1.8744,0.166079,229724,6
10,10000,Seq,sem,174805,36238,8.74025,1.8119,0.156329,344724,6
10,100000,Seq,com,2181032,374967,10.9052,1.87484,1.94393,2299632,7
10,100000,Seq,sem,2168533,362468,10.8427,1.81234,1.85867,3449540,7
100,10000,Seq,com,81414,21564,4.0707,1.0782,0.0971536,166460,3
100,10000,Seq,sem,81313,21463,4.06565,1.07315,0.0973769,248472,3
100,100000,Seq,com,859124,214274,4.29562,1.07137,1.01555,1657292,3
100,100000,Seq,sem,858104,213254,4.29052,1.06627,1.05469,2485532,3
